rank,commodity,origin_province,destination_province,priority_score,price_gap_score,origin_surplus_score,destination_deficit_score,destination_model_score,distance_km,top_reasons,review_action,origin_price,destination_price,origin_surplus_ton,destination_surplus_ton,origin_region,destination_region
23,Beras Medium,Jawa Timur,Kalimantan Timur,56.24,0.2274632324925703,0.9443950263692544,0.1985564887138308,0.22078364783007545,895.1808644810923,"selisih harga Rp2,985/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.22 juta ton; jarak relatif dekat",review if capacity allows,12742.0,15727.0,2143773.7,-218981.5,Jawa,Kalimantan
24,Beras Medium,Sumatera Selatan,DKI Jakarta,55.14,0.04114912748609312,0.5328579413737191,0.629516968340428,0.31089021247728055,426.4327219987256,selisih harga Rp540/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.87 juta ton; jarak relatif dekat,review if capacity allows,12377.0,12917.0,877865.3,-867536.4,Sumatra,Jawa
25,Beras Medium,Sulawesi Selatan,Papua Tengah,54.81,0.2821001295435495,0.997083243539672,0.1360393467429249,0.2090788030839928,1792.953154395987,"selisih harga Rp3,702/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,16621.0,2311564.2,-93722.0,Sulawesi,Maluku-Papua
26,Beras Medium,Sulawesi Selatan,Papua Barat,53.68,0.3317838908786101,0.997083243539672,0.0904692796939242,0.16332408494715328,1692.7539155933655,"selisih harga Rp4,354/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,17273.0,2311564.2,-27113.4,Sulawesi,Maluku-Papua
27,Beras Medium,Lampung,DKI Jakarta,52.54,0.0,0.4826253642615985,0.629516968340428,0.31089021247728055,194.13638604094467,selisih harga Rp-194/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.87 juta ton; jarak relatif dekat,review if capacity allows,13111.0,12917.0,724813.4,-867536.4,Sumatra,Jawa
28,Beras Medium,Jawa Tengah,Kalimantan Timur,52.21,0.19606797226244,0.8870828620976628,0.1985564887138308,0.22078364783007545,1038.1741419716768,"selisih harga Rp2,573/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.22 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,15727.0,1972195.3,-218981.5,Jawa,Kalimantan
29,Beras Medium,Jawa Timur,Riau,52.15,0.12474281795321192,0.9443950263692544,0.3072461520480734,0.16739024668454325,1521.657794693877,"selisih harga Rp1,637/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.41 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,14379.0,2143773.7,-406677.9,Jawa,Sumatra
30,Beras Medium,Sulawesi Selatan,Riau,50.84,0.11125504838832584,0.997083243539672,0.3072461520480734,0.16739024668454325,2093.6490661618727,"selisih harga Rp1,460/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.41 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,14379.0,2311564.2,-406677.9,Sulawesi,Sumatra
31,Beras Medium,Sulawesi Selatan,Maluku Utara,50.47,0.2179379715004191,0.997083243539672,0.1067661792442474,0.12277461213541097,1102.6685728507766,"selisih harga Rp2,860/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,15779.0,2311564.2,-96158.9,Sulawesi,Maluku-Papua
32,Beras Medium,Sulawesi Selatan,Maluku,50.47,0.18509487159948182,0.997083243539672,0.1061216753298679,0.13089288264684626,983.3317829817717,"selisih harga Rp2,429/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,15348.0,2311564.2,-95149.3,Sulawesi,Maluku-Papua
33,Beras Medium,Jawa Timur,Papua Tengah,50.31,0.2955878991084356,0.9443950263692544,0.1360393467429249,0.2090788030839928,2555.086539295423,"selisih harga Rp3,879/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,16621.0,2143773.7,-93722.0,Jawa,Maluku-Papua
34,Beras Medium,Jawa Tengah,Riau,49.72,0.0933475577230816,0.8870828620976628,0.3072461520480734,0.16739024668454325,1298.3532635097608,"selisih harga Rp1,225/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.41 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,14379.0,1972195.3,-406677.9,Jawa,Sumatra
35,Beras Medium,Jawa Timur,Papua Barat,49.12,0.34527166044349616,0.9443950263692544,0.0904692796939242,0.16332408494715328,2466.859770621911,"selisih harga Rp4,531/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,17273.0,2143773.7,-27113.4,Jawa,Maluku-Papua
36,Beras Medium,Sumatera Utara,DKI Jakarta,48.08,0.0,0.5079618854275184,0.629516968340428,0.31089021247728055,1418.5698254500098,"selisih harga Rp-1,105/kg; asal surplus proxy 0.81 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,14022.0,12917.0,813624.3,-867536.4,Sumatra,Jawa
37,Beras Medium,Sulawesi Selatan,Kalimantan Utara,47.09,0.18136096929055856,0.997083243539672,0.0427089548164283,0.10523225965505272,962.656361894973,"selisih harga Rp2,380/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.01 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,15299.0,2311564.2,-10922.5,Sulawesi,Kalimantan
38,Beras Medium,Sulawesi Selatan,Papua Barat Daya,46.3,0.18776194467728416,0.997083243539672,0.0649577215536571,0.11107622475189738,1395.8343914009183,"selisih harga Rp2,464/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.04 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,15383.0,2311564.2,-42799.5,Sulawesi,Maluku-Papua
39,Beras Medium,Jawa Timur,Maluku Utara,46.02,0.2314257410653052,0.9443950263692544,0.1067661792442474,0.12277461213541097,1852.7935844943972,"selisih harga Rp3,037/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,15779.0,2143773.7,-96158.9,Jawa,Maluku-Papua
40,Beras Medium,Jawa Timur,Maluku,45.95,0.1985826411643679,0.9443950263692544,0.1061216753298679,0.13089288264684626,1752.614426051379,"selisih harga Rp2,606/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,15348.0,2143773.7,-95149.3,Jawa,Maluku-Papua
41,Beras Medium,Nusa Tenggara Barat,DKI Jakarta,45.93,0.0,0.3988510000601896,0.629516968340428,0.31089021247728055,1055.535123321851,selisih harga Rp-306/kg; asal surplus proxy 0.46 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13223.0,12917.0,461050.5,-867536.4,Bali-Nusa,Jawa
42,Beras Medium,Jawa Tengah,Papua Tengah,45.81,0.26419263887830524,0.8870828620976628,0.1360393467429249,0.2090788030839928,2805.923577314298,"selisih harga Rp3,467/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,16621.0,1972195.3,-93722.0,Jawa,Maluku-Papua
43,Beras Medium,Jawa Timur,Kepulauan Riau,45.21,0.10020574563743047,0.9443950263692544,0.1469170788316764,0.1149903504005898,1293.4556548803714,"selisih harga Rp1,315/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.18 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,14057.0,2143773.7,-181142.9,Jawa,Sumatra
44,Beras Medium,Jawa Barat,Kalimantan Timur,44.98,0.20947953973938885,0.6878096171913441,0.1985564887138308,0.22078364783007545,1275.706803694243,"selisih harga Rp2,749/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.22 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,15727.0,1350069.5,-218981.5,Jawa,Kalimantan
45,Beras Medium,Sulawesi Selatan,Papua,44.77,0.24102720414539358,0.997083243539672,0.0513288242072671,0.13608247786583189,2373.26671181976,"selisih harga Rp3,163/kg; asal surplus proxy 2.31 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,16082.0,2311564.2,10647.0,Sulawesi,Maluku-Papua
46,Beras Medium,Jawa Tengah,Papua Barat,44.67,0.3138764002133658,0.8870828620976628,0.0904692796939242,0.16332408494715328,2708.299970754117,"selisih harga Rp4,119/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,17273.0,1972195.3,-27113.4,Jawa,Maluku-Papua
47,Beras Medium,Jawa Barat,Riau,44.51,0.10675912520003047,0.6878096171913441,0.3072461520480734,0.16739024668454325,1071.3459932918554,"selisih harga Rp1,401/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.41 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,14379.0,1350069.5,-406677.9,Jawa,Sumatra
48,Beras Medium,Jawa Timur,Kalimantan Utara,44.48,0.19484873885544463,0.9443950263692544,0.0427089548164283,0.10523225965505272,1291.2263321364546,"selisih harga Rp2,557/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.01 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,15299.0,2143773.7,-10922.5,Jawa,Kalimantan
49,Beras Medium,Kalimantan Selatan,DKI Jakarta,44.24,0.0,0.3318315692012287,0.629516968340428,0.31089021247728055,915.808883520258,selisih harga Rp-219/kg; asal surplus proxy 0.27 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13136.0,12917.0,265584.8,-867536.4,Kalimantan,Jawa
50,Beras Medium,Sulawesi Selatan,Kepulauan Riau,44.2,0.08671797607254439,0.997083243539672,0.1469170788316764,0.1149903504005898,1795.4698895015704,"selisih harga Rp1,138/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.18 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,14057.0,2311564.2,-181142.9,Sulawesi,Sumatra
51,Beras Medium,Sumatera Barat,DKI Jakarta,44.02,0.0,0.326940641267158,0.629516968340428,0.31089021247728055,928.4794625933076,"selisih harga Rp-2,263/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,15180.0,12917.0,295616.8,-867536.4,Sumatra,Jawa
52,Beras Medium,Sulawesi Selatan,Kalimantan Tengah,43.8,0.12276156366684447,0.997083243539672,0.0352459273032908,0.05967752904758533,693.2699623996948,"selisih harga Rp1,611/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.03 juta ton; jarak relatif dekat",review if capacity allows,12919.0,14530.0,2311564.2,-29068.60000000001,Sulawesi,Kalimantan
53,Beras Medium,Sumatera Selatan,Riau,43.66,0.15255658005029338,0.5328579413737191,0.3072461520480734,0.16739024668454325,535.5574930524133,"selisih harga Rp2,002/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.41 juta ton; jarak relatif dekat",review if capacity allows,12377.0,14379.0,877865.3,-406677.9,Sumatra,Sumatra
54,Beras Medium,Jawa Timur,Kalimantan Tengah,43.14,0.13624933323173055,0.9443950263692544,0.0352459273032908,0.05967752904758533,575.215307835799,"selisih harga Rp1,788/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.03 juta ton; jarak relatif dekat",review if capacity allows,12742.0,14530.0,2143773.7,-29068.60000000001,Jawa,Kalimantan
55,Beras Medium,Jawa Tengah,Kepulauan Riau,42.64,0.06881048540730016,0.8870828620976628,0.1469170788316764,0.1149903504005898,1101.0658652219615,selisih harga Rp903/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.18 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13154.0,14057.0,1972195.3,-181142.9,Jawa,Sumatra
56,Beras Medium,Bali,DKI Jakarta,42.45,0.0,0.2854053918363151,0.629516968340428,0.31089021247728055,961.8585253447344,"selisih harga Rp-1,055/kg; asal surplus proxy 0.12 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13972.0,12917.0,120151.09999999998,-867536.4,Bali-Nusa,Jawa
57,Beras Medium,Sulawesi Tengah,DKI Jakarta,41.78,0.0,0.3419196181380747,0.629516968340428,0.31089021247728055,1560.455585858631,selisih harga Rp-873/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13790.0,12917.0,297374.7,-867536.4,Sulawesi,Jawa
58,Beras Medium,Aceh,DKI Jakarta,41.74,0.0,0.3750789476478248,0.629516968340428,0.31089021247728055,1829.711391380584,selisih harga Rp-565/kg; asal surplus proxy 0.41 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13482.0,12917.0,405112.0,-867536.4,Sumatra,Jawa
59,Beras Medium,Jawa Timur,Papua Barat Daya,41.74,0.20124971424217022,0.9443950263692544,0.0649577215536571,0.11107622475189738,2170.0563391937053,"selisih harga Rp2,641/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.04 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,15383.0,2143773.7,-42799.5,Jawa,Maluku-Papua
60,Beras Medium,Jawa Tengah,Maluku Utara,41.67,0.20003048083517488,0.8870828620976628,0.1067661792442474,0.12277461213541097,2070.965610871862,"selisih harga Rp2,625/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,15779.0,1972195.3,-96158.9,Jawa,Maluku-Papua
61,Beras Medium,Jawa Tengah,Maluku,41.46,0.1671873809342376,0.8870828620976628,0.1061216753298679,0.13089288264684626,1999.6373699006083,"selisih harga Rp2,194/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,15348.0,1972195.3,-95149.3,Jawa,Maluku-Papua
62,Beras Medium,Sumatera Selatan,Kalimantan Timur,41.23,0.25527699458965175,0.5328579413737191,0.1985564887138308,0.22078364783007545,1404.5159175500387,"selisih harga Rp3,350/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.22 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12377.0,15727.0,877865.3,-218981.5,Sumatra,Kalimantan
63,Beras Medium,Jawa Tengah,Kalimantan Utara,40.62,0.16345347862531434,0.8870828620976628,0.0427089548164283,0.10523225965505272,1394.6299137038354,"selisih harga Rp2,145/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.01 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,15299.0,1972195.3,-10922.5,Jawa,Kalimantan
64,Beras Medium,Jawa Timur,Papua,40.28,0.25451497371027965,0.9443950263692544,0.0513288242072671,0.13608247786583189,3135.1347794769667,"selisih harga Rp3,340/kg; asal surplus proxy 2.14 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,16082.0,2143773.7,10647.0,Jawa,Maluku-Papua
65,Beras Medium,Sulawesi Barat,DKI Jakarta,40.08,0.0,0.2705625321672542,0.629516968340428,0.31089021247728055,1391.057578028216,selisih harga Rp-551/kg; asal surplus proxy 0.08 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13468.0,12917.0,78155.0,-867536.4,Sulawesi,Jawa
66,Beras Medium,Sulawesi Selatan,Papua Selatan,39.91,0.1639106911529376,0.997083243539672,0.0295779743313416,0.11706474129046035,2344.3358418011367,"selisih harga Rp2,151/kg; asal surplus proxy 2.31 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12919.0,15070.0,2311564.2,156135.8,Sulawesi,Maluku-Papua
67,Beras Medium,Jawa Tengah,Kalimantan Tengah,39.37,0.10485407300160024,0.8870828620976628,0.0352459273032908,0.05967752904758533,657.9544609575205,"selisih harga Rp1,376/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.03 juta ton; jarak relatif dekat",review if capacity allows,13154.0,14530.0,1972195.3,-29068.60000000001,Jawa,Kalimantan
68,Beras Medium,Sulawesi Tenggara,DKI Jakarta,39.12,0.0,0.288325437421205,0.629516968340428,0.31089021247728055,1751.7448274916103,"selisih harga Rp-1,084/kg; asal surplus proxy 0.13 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,14001.0,12917.0,132556.0,-867536.4,Sulawesi,Jawa
69,Beras Medium,Jawa Timur,Kepulauan Bangka Belitung,38.98,0.06705783738474434,0.9443950263692544,0.0617702103748577,0.03934247629993162,930.1850774829992,selisih harga Rp880/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.08 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,12742.0,13622.0,2143773.7,-84281.9,Jawa,Sumatra
70,Beras Medium,Jawa Barat,Papua Tengah,38.28,0.2776042063552541,0.6878096171913441,0.1360393467429249,0.2090788030839928,3113.1492614516856,"selisih harga Rp3,643/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,16621.0,1350069.5,-93722.0,Jawa,Maluku-Papua
71,Beras Medium,Lampung,Riau,38.27,0.09662424750438162,0.4826253642615985,0.3072461520480734,0.16739024668454325,786.8459534082994,"selisih harga Rp1,268/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.41 juta ton; jarak relatif dekat",review if capacity allows,13111.0,14379.0,724813.4,-406677.9,Sumatra,Sumatra
72,Beras Medium,Jawa Timur,Banten,37.65,0.002362264726053494,0.9443950263692544,0.0801696340807018,0.041802139376786424,739.6301981446298,selisih harga Rp31/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.11 juta ton; jarak relatif dekat,review if capacity allows,12742.0,12773.0,2143773.7,-109688.90000000002,Jawa,Jawa
73,Beras Medium,Sulawesi Selatan,Kepulauan Bangka Belitung,37.62,0.053570067819858264,0.997083243539672,0.0617702103748577,0.03934247629993162,1515.6117417768726,selisih harga Rp703/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.08 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,12919.0,13622.0,2311564.2,-84281.9,Sulawesi,Sumatra
74,Beras Medium,Gorontalo,DKI Jakarta,37.59,0.0,0.2690205710637521,0.629516968340428,0.31089021247728055,1949.4776502416332,selisih harga Rp-358/kg; asal surplus proxy 0.06 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13275.0,12917.0,60899.4,-867536.4,Sulawesi,Jawa
