province_code,province,region,lat,lon,date,year_month,commodity,price,price_source,price_14d_change,national_median_price,national_median_gap,price_zscore_past6,production_ton_year,population,rice_consumption_kg_capita_year,need_ton_year,surplus_proxy_ton,anomaly_score,deficit_score,surplus_score,monitoring_priority_proxy,priority_label,price_gap_score,change_score,balance_deficit_score,balance_surplus_score,future_priority,future_label,_rf_prediction,_rf_prediction_norm,model_priority_score,isolation_anomaly_score,rank,top_reasons,cluster_id,pca_x,pca_y,cluster_label
21,Kepulauan Riau,Sumatra,0.92,104.45,2025-05-01,2025-05,Beras Medium,14057.0,Bapanas monthly consumer price,0.0262831276921953,13908.0,0.0107132585562266,2.7315271242632724,0.0,2230000.0,81.23,181142.9,-181142.9,0.0966920052425063,0.1469170788316764,0.2384027456455216,0.0829301321458621,1,0.012853692201518248,0.05734292067676514,0.2088014981273408,0.0,0.0512312333957583,0,0.07699761185990552,0.19743091162703244,0.1149903504005898,0.1867487495656771,11,kenaikan harga bulanan positif; proxy neraca beras defisit,0,1.3195580109959308,-0.791711627115168,Transisi/moderat
92,Papua Barat Daya,Maluku-Papua,-0.87,131.25,2025-05-01,2025-05,Beras Medium,15383.0,Bapanas monthly consumer price,0.0051620491374804,13908.0,0.1060540696002301,-1.072612393329725,10000.0,650000.0,81.23,52799.5,-42799.5,0.0340296022146891,0.0649577215536571,0.2275106008551356,0.0620578971842578,0,0.12724292615596966,0.011262243127479874,0.049334529363839946,0.0,0.0526515644484072,0,0.09024574924415246,0.23712335278297056,0.11107622475189738,0.20932235623393533,12,harga di atas median nasional; proxy neraca beras defisit,3,0.3933796747863968,-0.13633096075026951,Transisi/moderat
65,Kalimantan Utara,Kalimantan,3.31,117.59,2025-05-01,2025-05,Beras Medium,15299.0,Bapanas monthly consumer price,0.0088361358391031,13908.0,0.100014380212827,1.495299779233927,50000.0,750000.0,81.23,60922.5,-10922.5,0.0486919572109348,0.0427089548164283,0.2271313218772502,0.0588404412452497,0,0.11999654934437526,0.01927814080746831,0.01259024981545443,0.0,0.0619319289922506,0,0.08604096901673038,0.22452550699454615,0.10523225965505272,0.16443036075184903,13,harga di atas median nasional; proxy neraca beras defisit,0,0.5884657912428627,-0.061950351200914404,Transisi/moderat
71,Sulawesi Utara,Sulawesi,1.47,124.84,2025-05-01,2025-05,Beras Medium,14175.0,Bapanas monthly consumer price,0.0239832406270317,13908.0,0.0191975841242451,2.783501470065858,250000.0,2690000.0,81.23,218508.7,31491.29999999999,0.0963937224785983,0.0197566774194088,0.2471231881329887,0.0462487489640925,0,0.023033126293995933,0.052325167725606414,0.0,0.013623372433264015,0.0835937835976305,0,0.0661288836850648,0.16486736393671883,0.07946196115642787,0.18699054685030855,14,kenaikan harga bulanan positif,0,0.9916380727304659,-0.1606448603854101,Transisi/moderat
61,Kalimantan Barat,Kalimantan,-0.02,109.34,2025-05-01,2025-05,Beras Medium,14485.0,Bapanas monthly consumer price,-0.0040566556655665,13908.0,0.0414869140063272,-3.2129151377068466,460000.0,5740000.0,81.23,466260.2,-6260.200000000012,0.0901253833041583,0.029441181171351,0.2335211055619237,0.0438076270235456,0,0.04977570738440293,0.0,0.007216066092442935,0.0,0.0308945888372714,0,0.057023463869522915,0.13758682405808947,0.07006580219321788,0.34363448465097923,15,proxy neraca beras defisit,0,0.4349651443423477,-0.5828430065196052,Transisi/moderat
13,Sumatera Barat,Sumatra,-0.95,100.35,2025-05-01,2025-05,Beras Medium,15180.0,Bapanas monthly consumer price,-0.0092030546308987,13908.0,0.0914581535806728,-0.8963198640022224,770000.0,5840000.0,81.23,474383.2,295616.8,0.0251426408243036,0.0290094913617407,0.326940641267158,0.042421219829919,0,0.10973084886128341,0.0,0.0,0.12788604357170782,0.040990587906952,0,0.057761554567433766,0.1397982007025835,0.06968677447426506,0.1652696526176866,16,harga di atas median nasional,3,-0.38689907797191725,0.10520357733436284,Transisi/moderat
62,Kalimantan Tengah,Kalimantan,-2.21,113.92,2025-05-01,2025-05,Beras Medium,14530.0,Bapanas monthly consumer price,0.0003442340791739,13908.0,0.044722461892436,0.4969161904092354,200000.0,2820000.0,81.23,229068.6,-29068.60000000001,0.0142018408129416,0.0352459273032908,0.2405311616743994,0.0276888679072539,0,0.05365769496204278,0.0007510288626025963,0.03350706667754806,0.0,0.0235202605637218,0,0.05847444862362058,0.14193408626558043,0.05967752904758533,0.09461614714167303,17,proxy neraca beras defisit,3,-0.48476812563943833,-0.16008087307819957,Transisi/moderat
36,Banten,Jawa,-6.12,106.15,2025-05-01,2025-05,Beras Medium,12773.0,Bapanas monthly consumer price,-0.001407239465249,13908.0,-0.0816077077940753,-0.4226950832988151,900000.0,12430000.0,81.23,1009688.9,-109688.90000000002,0.0118570067276282,0.0801696340807018,0.2488142993272371,0.0270151419061176,0,0.0,0.0,0.12643723076057675,0.0,0.0339901083003756,0,0.0377445952706458,0.07982584715850623,0.041802139376786424,0.08312033945348292,18,proxy neraca beras defisit,3,-1.006471230553856,-0.6505640795841321,Transisi/moderat
15,Jambi,Sumatra,-1.61,103.61,2025-05-01,2025-05,Beras Medium,13182.0,Bapanas monthly consumer price,0.0012152514051344,13908.0,-0.0522001725625539,0.8511360600905102,200000.0,3780000.0,81.23,307049.4,-107049.40000000002,0.0248031677555001,0.0802251935820565,0.2475196832244499,0.0307986222531055,0,0.0,0.0026513611980678526,0.12339470712698627,0.0,0.0386820388768456,0,0.03367601934654467,0.0676360799654307,0.04111311041255655,0.0,19,proxy neraca beras defisit,3,-0.6720304197477607,-0.6283400562672861,Transisi/moderat
19,Kepulauan Bangka Belitung,Sumatra,-2.13,106.11,2025-05-01,2025-05,Beras Medium,13622.0,Bapanas monthly consumer price,-0.0016124303723248,13908.0,-0.0205637043428242,0.3652119623212528,40000.0,1530000.0,81.23,124281.9,-84281.9,0.0102445494763235,0.0617702103748577,0.2489755450523676,0.0210922004815382,0,0.0,0.0,0.0971508515377568,0.0,0.0295998405280281,0,0.03989604517745518,0.08627175697580043,0.03934247629993162,0.028217832688710996,20,proxy neraca beras defisit,3,-0.8878235296042448,-0.46576516021184183,Transisi/moderat
12,Sumatera Utara,Sumatra,3.59,98.67,2025-05-01,2025-05,Beras Medium,14022.0,Bapanas monthly consumer price,0.0040816326530612,13908.0,0.0081967213114753,1.5102011346302848,2080000.0,15590000.0,81.23,1266375.7,813624.3,0.0454793751681495,0.0090838110371271,0.5079618854275184,0.0183345905384236,0,0.00983436853002057,0.008905056513714846,0.0,0.3519799709651153,0.0430521158226076,0,0.038803455251678436,0.08299827330948281,0.03644042171432018,0.03520392907111474,21,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.6352258640332418,0.5783300082944771,Transisi/moderat
11,Aceh,Sumatra,5.55,95.32,2025-05-01,2025-05,Beras Medium,13482.0,Bapanas monthly consumer price,0.0110994450277486,13908.0,-0.0306298533218292,1.965834068714668,860000.0,5600000.0,81.23,454888.0,405112.0,0.0636191823857371,0.0095428773578605,0.3750789476478248,0.0236108768806981,0,0.0,0.02421609038452842,0.0,0.1752544878485313,0.0625867698544279,0,0.03080344055779316,0.05902961241219612,0.033528122829517545,0.06131901140438921,22,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.18566632441959036,0.11616062321537873,Transisi/moderat
73,Sulawesi Selatan,Sulawesi,-5.15,119.43,2025-05-01,2025-05,Beras Medium,12919.0,Bapanas monthly consumer price,0.0074865476097636,13908.0,-0.0711101524302559,0.8360057863133966,3080000.0,9460000.0,81.23,768435.8,2311564.2,0.0291675646032799,0.0043751346904919,0.997083243539672,0.0118711699062881,0,0.0,0.016333691741602707,0.0,1.0,0.0465246234216503,0,0.040039183820744256,0.08670061138839492,0.03282341352127801,0.026730192111425025,23,skor prioritas moderat berdasarkan kombinasi fitur,2,-1.740681865596791,2.1087938764261818,Surplus relatif stabil
76,Sulawesi Barat,Sulawesi,-2.68,118.89,2025-05-01,2025-05,Beras Medium,13468.0,Bapanas monthly consumer price,0.0041004995153954,13908.0,-0.0316364682197296,1.5978696754963413,200000.0,1500000.0,81.23,121845.0,78155.0,0.0479529695987965,0.0071929454398194,0.2705625321672542,0.0159353698476788,0,0.0,0.008946219080168866,0.0,0.03381043883617855,0.0886025919046225,1,0.03169836336631625,0.06171087015327658,0.028752509933246177,0.03718253918749825,24,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.43164211116036627,-0.2368950349254104,Transisi/moderat
63,Kalimantan Selatan,Kalimantan,-3.32,114.59,2025-05-01,2025-05,Beras Medium,13136.0,Bapanas monthly consumer price,0.0045885591924135,13908.0,-0.0555076215127984,1.4218852477587345,610000.0,4240000.0,81.23,344415.2,265584.8,0.043389122415969,0.0065083683623953,0.3318315692012287,0.0148019986800343,0,0.0,0.010011037836617213,0.0,0.11489397525710078,0.0072313257912079,0,0.022938501210922866,0.03546564767011276,0.02058782039725627,0.033081804812189204,25,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.6439117027238183,-0.05109882169950616,Transisi/moderat
51,Bali,Bali-Nusa,-8.65,115.22,2025-05-01,2025-05,Beras Medium,13972.0,Bapanas monthly consumer price,-0.001429388221841,13908.0,0.0046016681046878,-0.9804120032286614,480000.0,4430000.0,81.23,359848.9,120151.09999999998,0.0275015068247479,0.0053950672935534,0.2854053918363151,0.0098741591440804,0,0.0055210489993096894,0.0,0.0,0.05197826649158175,0.0179013467942539,0,0.021617165482515504,0.0315068239407173,0.015931305287138733,0.033961707555440875,26,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.7396024599468485,-0.11161498306829823,Transisi/moderat
72,Sulawesi Tengah,Sulawesi,-0.9,119.87,2025-05-01,2025-05,Beras Medium,13790.0,Bapanas monthly consumer price,0.0035659704533876,13908.0,-0.0084843255680183,1.5304193203798484,550000.0,3110000.0,81.23,252625.3,297374.7,0.045652750783888,0.0068479126175832,0.3419196181380747,0.015023564733516,0,0.0,0.00778001626134526,0.0,0.12864652428861806,0.0437904806617783,0,0.013109309316759521,0.006016630834477089,0.012501623241785106,0.040012621842825474,27,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.5023240404895415,0.023003223520733015,Transisi/moderat
16,Sumatera Selatan,Sumatra,-2.99,104.76,2025-05-01,2025-05,Beras Medium,12377.0,Bapanas monthly consumer price,0.0117714379138396,13908.0,-0.110080529191832,0.38198799200308,1600000.0,8890000.0,81.23,722134.7,877865.3,0.0197039045457277,0.0029555856818591,0.5328579413737191,0.0109490925146406,0,0.0,0.02568220336825483,0.0,0.3797711091043891,0.0870906363158396,1,0.016432434866404975,0.015972971224631823,0.012355778553438142,0.17417823826943413,28,skor prioritas moderat berdasarkan kombinasi fitur,3,-1.2585233962743911,0.7286124929627121,Transisi/moderat
74,Sulawesi Tenggara,Sulawesi,-3.99,122.51,2025-05-01,2025-05,Beras Medium,14001.0,Bapanas monthly consumer price,-0.0005710614604896,13908.0,0.0066867989646246,1.240486853621734,360000.0,2800000.0,81.23,227444.0,132556.0,0.0347968584212973,0.0070647668584326,0.288325437421205,0.0128243382446346,0,0.00802277432712206,0.0,0.0,0.057344719216537436,0.030854981109477,0,0.013241040699520827,0.006411308214926125,0.011028689836316226,0.031632155037601514,29,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.6049807003324712,-0.12289200836558534,Transisi/moderat
33,Jawa Tengah,Jawa,-6.99,110.42,2025-05-01,2025-05,Beras Medium,13154.0,Bapanas monthly consumer price,0.002973694243233,13908.0,-0.0542134023583549,0.9197245737225492,5050000.0,37890000.0,81.23,3077804.7,1972195.3,0.0280699041000269,0.004210485615004,0.8870828620976628,0.0095781865587423,0,0.0,0.00648782424617214,0.0,0.8531864700102207,0.0328345294214515,0,0.014791346829454238,0.01105614492300876,0.009992014900736909,0.00400443688513565,30,skor prioritas moderat berdasarkan kombinasi fitur,2,-1.6580514869305294,1.7278413382914548,Surplus relatif stabil
75,Gorontalo,Sulawesi,0.54,123.06,2025-05-01,2025-05,Beras Medium,13275.0,Bapanas monthly consumer price,-0.000225937641211,13908.0,-0.0455133735979292,0.2632998637516888,160000.0,1220000.0,81.23,99100.6,60899.4,0.0073858163466746,0.0011078724520011,0.2690205710637521,0.002178815822269,0,0.0,0.0,0.0,0.02634553693122605,0.0228020237415261,0,0.020434758452422284,0.02796424130414613,0.009398734957194597,0.0405874599487058,31,skor prioritas moderat berdasarkan kombinasi fitur,3,-1.1499079522552496,-0.11605106153494538,Transisi/moderat
53,Nusa Tenggara Timur,Bali-Nusa,-10.18,123.61,2025-05-01,2025-05,Beras Medium,13844.0,Bapanas monthly consumer price,-0.0077408256880734,13908.0,-0.0046016681046879,0.7947809259856569,470000.0,5700000.0,81.23,463011.0,6989.0,0.0222943752098026,0.0033441562814703,0.2500381828202588,0.0065768406868917,0,0.0,0.0,0.0,0.0030234937883187496,0.0011059545767509,0,0.014632281620703125,0.010579573292205924,0.007697605816379684,0.025246893191108746,32,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.9605383311831223,-0.3107758945018856,Transisi/moderat
17,Bengkulu,Sumatra,-3.8,102.26,2025-05-01,2025-05,Beras Medium,13333.0,Bapanas monthly consumer price,-0.0043312672690613,13908.0,-0.0413431118780558,-0.6446143698518294,180000.0,2120000.0,81.23,172207.6,7792.399999999994,0.0180820577812489,0.0027123086671873,0.2507200822097233,0.0053342070454684,0,0.0,0.0,0.0,0.0033710506504643018,0.016265626419278,0,0.015498260494256315,0.01317411277227408,0.007529380648973991,0.040348117631037295,33,skor prioritas moderat berdasarkan kombinasi fitur,3,-1.0563298702622372,-0.2879645717171011,Transisi/moderat
34,DI Yogyakarta,Jawa,-7.8,110.37,2025-05-01,2025-05,Beras Medium,13068.0,Bapanas monthly consumer price,-0.0009174311926605,13908.0,-0.0603968938740293,0.8194933195611209,320000.0,3730000.0,81.23,302987.9,17012.099999999977,0.0229875817988013,0.0034481372698201,0.2532209133049092,0.0067813366306463,0,0.0,0.0,0.0,0.007359561979719177,0.008291414342435,0,0.011740231230203919,0.0019147673186964114,0.0054186972233003314,0.01615687162411646,34,skor prioritas moderat berdasarkan kombinasi fitur,3,-0.9697781721071281,-0.2810493175052509,Transisi/moderat
18,Lampung,Sumatra,-5.45,105.27,2025-05-01,2025-05,Beras Medium,13111.0,Bapanas monthly consumer price,-0.0022070015220699,13908.0,-0.0573051481161921,0.9070696143865744,1490000.0,9420000.0,81.23,765186.6,724813.4,0.0254441817403532,0.0038166272610529,0.4826253642615985,0.0075060336134042,0,0.0,0.0,0.0,0.3135597099141784,0.0226419034759954,0,0.011101139761949359,0.0,0.005404344201651024,0.02483947901153036,35,skor prioritas moderat berdasarkan kombinasi fitur,3,-1.2707578768654542,0.40142332692962496,Transisi/moderat
52,Nusa Tenggara Barat,Bali-Nusa,-8.58,116.12,2025-05-01,2025-05,Beras Medium,13223.0,Bapanas monthly consumer price,-0.0112166305241905,13908.0,-0.0492522289329881,-0.2636010994879138,920000.0,5650000.0,81.23,458949.5,461050.5,0.0073942663010084,0.0011091399451512,0.3988510000601896,0.0021813085587975,0,0.0,0.0,0.0,0.19945390225372064,0.0101849357847621,0,0.014186791614222496,0.009244850881430143,0.00415910040913464,0.06049816872214312,36,skor prioritas moderat berdasarkan kombinasi fitur,3,-1.597845126024867,0.10722201259086622,Transisi/moderat
35,Jawa Timur,Jawa,-7.25,112.75,2025-05-01,2025-05,Beras Medium,12742.0,Bapanas monthly consumer price,-0.005230697166055,13908.0,-0.0838366407822835,0.4151024532340115,5540000.0,41810000.0,81.23,3396226.3,2143773.7,0.0116440260961617,0.0017466039144242,0.9443950263692544,0.0034349876983677,0,0.0,0.0,0.0,0.9274125719718276,0.0382019186340733,0,0.01191346186688574,0.0024337796638638867,0.003154649448706632,0.08040153155672168,37,skor prioritas moderat berdasarkan kombinasi fitur,2,-2.255142548725204,1.818278219087612,Surplus relatif stabil
32,Jawa Barat,Jawa,-6.91,107.61,2025-05-01,2025-05,Beras Medium,12978.0,Bapanas monthly consumer price,-0.0067350375019133,13908.0,-0.0668679896462467,-0.0812884559959059,5440000.0,50350000.0,81.23,4089930.5,1350069.5,0.00228021996873,0.0003420329953095,0.6878096171913441,0.0006726648907753,0,0.0,0.0,0.0,0.5840501855842896,0.0249791308035478,0,0.014159955237111813,0.00916444702627606,0.003050363888715513,0.061850838528749306,38,skor prioritas moderat berdasarkan kombinasi fitur,2,-2.017486881812141,1.0742885073895898,Surplus relatif stabil
