region_code,province,district,year_month,mbg_beneficiaries,mbg_satpen,sppg_operational_count,sppg_density_per_100k_beneficiaries,nutrition_need,nutrition_need_source,poverty_rate,poverty_rate_filled,ikp,ikp_group,food_security_class,food_vulnerability,price_stress,education_exposure,condition_rate_per_1000,allergy_intolerance_rate_per_1000,beneficiaries_per_satpen,support_reach,need_pressure,coverage_gap,socioeconomic_stress,reference_priority_score,priority_label,is_java,is_eastern_indonesia,data_density_group,data_completeness
241900,Nusa Tenggara Timur,Kab. Sumba Barat Daya,2026-05,0,1,9,0.0,0.1385371179039301,mbg_condition_plus_food_vulnerability_proxy,25.66,25.66,62.53,4.0,Agak Tahan,0.46179039301310043,0.3603880469168942,0,0.0,0.0,0.0,0.08800544766188267,0.35192749571402604,0.9301285142200338,0.6904969485614647,0.49497214305406845,1,0,1,higher-data,0.75
360200,Papua Tengah,Kab. Puncak Jaya,2026-05,0,1,0,0.0,0.06611626637554587,mbg_condition_plus_food_vulnerability_proxy,35.46,35.46,,,,0.2203875545851529,0.5978246850429408,0,0.0,0.0,0.0,0.0,0.33969125272431494,0.9957230036823393,0.975297878523685,0.49233487109975627,1,0,1,lower-data,0.5
380300,Papua Pegunungan,Kab. Yahukimo,2026-05,0,1,2,0.0,0.06611626637554587,mbg_condition_plus_food_vulnerability_proxy,30.61,30.61,,,,0.2203875545851529,0.8832069439726297,0,0.0,0.0,0.0,0.04198926961060304,0.3400399988149008,0.959674204001038,0.8343504795117698,0.4764496742741281,1,0,1,lower-data,0.5
61900,Aceh,Kab. Bener Meriah,2026-05,1240,12,17,1370.967741935484,0.20473910125050448,mbg_condition_plus_food_vulnerability_proxy,16.2,16.2,46.98,2.0,Rentan,0.6739901746724891,0.7407043415714181,1240,18.548387096774192,17.741935483870968,103.33333333333333,0.44624463379790913,0.4178159468259452,0.6770362811577114,0.4155768671897703,0.47508753781863866,1,0,0,higher-data,0.75
216100,Maluku,Kota Tual,2026-05,0,4,5,0.0,0.15253820960698694,mbg_condition_plus_food_vulnerability_proxy,19.39,19.39,59.11,4.0,Agak Tahan,0.5084606986899565,0.30247087536912587,0,0.0,0.0,0.0,0.11709877621668802,0.3276609517374281,0.8839341056655965,0.5082824760244116,0.46742995468895393,1,0,1,higher-data,0.75
242000,Nusa Tenggara Timur,Kab. Manggarai Timur,2026-05,0,1,8,0.0,0.12056495633187772,mbg_condition_plus_food_vulnerability_proxy,23.51,23.51,66.92,4.0,Agak Tahan,0.40188318777292575,0.3603880469168942,0,0.0,0.0,0.0,0.08397853922120609,0.31636685436148176,0.9028293084260162,0.6280151118860796,0.46050336850600304,1,0,1,higher-data,0.75
380200,Papua Pegunungan,Kab. Pegunungan Bintang,2026-05,0,1,0,0.0,0.06611626637554587,mbg_condition_plus_food_vulnerability_proxy,25.87,25.87,,,,0.2203875545851529,0.8832069439726297,0,0.0,0.0,0.0,0.0,0.31248986803896356,0.9721743740138176,0.6965998256320837,0.45891211869537013,1,0,1,lower-data,0.5
161200,Kalimantan Timur,Kab. Mahakam Ulu,2026-05,0,2,0,0.0,0.16310043668122273,mbg_condition_plus_food_vulnerability_proxy,10.09,10.09,56.53,3.0,Agak Rentan,0.5436681222707425,0.4221122269800722,0,0.0,0.0,0.0,0.021513465701862643,0.2991258909230713,0.9419804704974772,0.2380122057541412,0.4581213371290706,1,0,0,higher-data,0.75
240300,Nusa Tenggara Timur,Kab. Timor Tengah Selatan,2026-05,0,2,15,0.0,0.12015556768558955,mbg_condition_plus_food_vulnerability_proxy,24.5,24.5,67.02,4.0,Agak Tahan,0.4005185589519652,0.3603880469168942,0,0.0,0.0,0.0,0.12748258381411567,0.32159561350342414,0.8696938437072964,0.6567858180761407,0.45611889646443926,1,0,1,higher-data,0.75
210500,Maluku,Kab. Seram Bagian Barat,2026-05,0,8,17,0.0,0.1436135371179039,mbg_condition_plus_food_vulnerability_proxy,21.85,21.85,61.29,4.0,Agak Tahan,0.47871179039301304,0.30247087536912587,0,0.0,0.0,0.0,0.19027526268643102,0.3305057911799837,0.8230469880067538,0.5797733217088056,0.4538583850963346,1,0,1,higher-data,0.75
120400,Lampung,Kab. Lampung Barat,2026-05,42,3,29,69047.61904761905,0.4506679518404324,mbg_condition_plus_food_vulnerability_proxy,9.93,9.93,76.18,6.0,Sangat Tahan,0.275518558951965,0.3162695098693987,42,2642.8571428571427,2642.8571428571427,14.0,0.29161895365297386,0.3499796479836691,0.7521710959142951,0.2333623946527172,0.45169810360449564,1,0,0,higher-data,0.75
241400,Nusa Tenggara Timur,Kab. Lembata,2026-05,0,1,4,0.0,0.10750545851528386,mbg_condition_plus_food_vulnerability_proxy,23.27,23.27,70.11,5.0,Tahan,0.3583515283842795,0.3603880469168942,0,0.0,0.0,0.0,0.0615131681338194,0.29821222216642573,0.9065611770403318,0.6210403952339436,0.4471129720482244,1,0,1,higher-data,0.75
72700,Sumatera Utara,Kab. Nias Barat,2026-05,472,1,8,1694.915254237288,0.12699235807860265,mbg_condition_plus_food_vulnerability_proxy,22.47,22.47,65.35,4.0,Agak Tahan,0.42330786026200884,0.7381077799284579,472,0.0,0.0,472.0,0.28841937125944234,0.35634257213908394,0.760449495268914,0.5977913397268235,0.44579536115258755,1,0,0,higher-data,0.75
241300,Nusa Tenggara Timur,Kab. Sumba Barat,2026-05,0,7,3,0.0,0.10259279475982531,mbg_condition_plus_food_vulnerability_proxy,26.47,26.47,71.31,5.0,Tahan,0.3419759825327511,0.3603880469168942,0,0.0,0.0,0.0,0.12653958412299937,0.3105068814192833,0.8609105373571633,0.7140366172624236,0.44465520394698815,1,0,1,higher-data,0.75
210800,Maluku,Kab. Maluku Barat Daya,2026-05,264,5,3,1136.3636363636365,0.1298105689713154,mbg_condition_plus_food_vulnerability_proxy,27.65,27.65,65.95,4.0,Agak Tahan,0.4151200873362445,0.30247087536912587,264,37.87878787878788,37.87878787878788,52.8,0.29648530207353835,0.34210766023515077,0.7411433352135537,0.7483289741354257,0.4411164402993679,1,0,1,higher-data,0.75
241500,Nusa Tenggara Timur,Kab. Rote Ndao,2026-05,0,2,8,0.0,0.10275655021834064,mbg_condition_plus_food_vulnerability_proxy,24.37,24.37,71.27,5.0,Tahan,0.34252183406113546,0.3603880469168942,0,0.0,0.0,0.0,0.10549200492306873,0.2985112801164733,0.8687469647204267,0.6530078465562337,0.4376264798980327,1,0,1,higher-data,0.75
111300,Sumatera Selatan,Kab. Musi Rawas Utara,2026-05,0,3,19,0.0,0.15061408296943235,mbg_condition_plus_food_vulnerability_proxy,15.25,15.25,59.58,3.0,Agak Rentan,0.5020469432314412,0.33332333369652245,0,0.0,0.0,0.0,0.15127523972338233,0.3042141292687702,0.8340487988176826,0.38796861377506536,0.4364979761410961,1,0,0,higher-data,0.75
210900,Maluku,Kab. Buru Selatan,2026-05,554,2,3,541.5162454873646,0.17624181222707425,mbg_condition_plus_food_vulnerability_proxy,14.84,14.84,53.32,3.0,Agak Rentan,0.5874727074235808,0.30247087536912587,554,0.0,0.0,277.0,0.28424556352986696,0.3316347744605245,0.7426729250494509,0.3760534728276663,0.4363789717191611,1,0,1,higher-data,0.75
210400,Maluku,Kab. Kepulauan Tanimbar,2026-05,88,10,2,2272.727272727273,0.2090675024452071,mbg_condition_plus_food_vulnerability_proxy,,8.71,49.94,2.0,Rentan,0.6335971615720524,0.30247087536912587,88,136.36363636363635,136.36363636363635,8.8,0.28143379592987666,0.32230827103114074,0.7370330246102188,0.1979075850043592,0.4289609958418979,1,0,1,lower-data,0.5
240600,Nusa Tenggara Timur,Kab. Alor,2026-05,0,8,10,0.0,0.13329694323144106,mbg_condition_plus_food_vulnerability_proxy,18.29,18.29,63.81,4.0,Agak Tahan,0.44432314410480356,0.3603880469168942,0,0.0,0.0,0.0,0.1714526733863213,0.30236622011246306,0.8149811429842656,0.47631502470212145,0.42873050074919444,1,0,1,higher-data,0.75
380400,Papua Pegunungan,Kab. Tolikara,2026-05,454,2,0,0.0,0.06611626637554587,mbg_condition_plus_food_vulnerability_proxy,28.75,28.75,,,,0.2203875545851529,0.8832069439726297,454,0.0,0.0,227.0,0.22466646427202608,0.32922918800409,0.7921688567964057,0.7802964254577157,0.4264652293648619,1,0,1,lower-data,0.5
270200,Maluku Utara,Kab. Halmahera Tengah,2026-05,276,2,1,362.3188405797101,0.17771561135371175,mbg_condition_plus_food_vulnerability_proxy,9.16,9.16,52.96,3.0,Agak Rentan,0.5923853711790392,0.3758300298549407,276,0.0,0.0,138.0,0.23468556520979986,0.30784840663484697,0.7649855273947481,0.21098517872711417,0.4223631983601081,1,0,1,higher-data,0.75
241200,Nusa Tenggara Timur,Kab. Sumba Timur,2026-05,390,7,4,1025.6410256410256,0.15354335838891797,mbg_condition_plus_food_vulnerability_proxy,25.64,25.64,70.98,5.0,Tahan,0.34647925764192145,0.3603880469168942,390,369.2307692307692,333.3333333333333,55.714285714285715,0.33318942087908016,0.32973627481194023,0.69865796587494,0.6899157221737867,0.41920727910515326,1,0,1,higher-data,0.75
240900,Nusa Tenggara Timur,Kab. Ende,2026-05,0,2,17,0.0,0.09596069868995631,mbg_condition_plus_food_vulnerability_proxy,21.31,21.31,72.93,5.0,Tahan,0.3198689956331877,0.3603880469168942,0,0.0,0.0,0.0,0.13198428445113197,0.2720044098587666,0.8228648390312987,0.5640802092414995,0.40590768715801656,1,0,1,higher-data,0.75
200600,Sulawesi Tenggara,Kab. Wakatobi,2026-05,0,9,9,0.0,0.13849617903930128,mbg_condition_plus_food_vulnerability_proxy,13.4,13.4,62.54,4.0,Agak Tahan,0.4616539301310043,0.2832008256018625,0,0.0,0.0,0.0,0.17340018727334083,0.27289788024359296,0.7877839868697725,0.3342051729148503,0.40204126262472006,1,0,1,higher-data,0.75
116300,Sumatera Selatan,Kota Pagar Alam,2026-05,0,6,14,0.0,0.15794213973799123,mbg_condition_plus_food_vulnerability_proxy,7.7,7.7,57.79,4.0,Agak Tahan,0.5264737991266375,0.33332333369652245,0,0.0,0.0,0.0,0.169972456042764,0.2697358765187317,0.7880140309905854,0.16855565242662018,0.39952753103009,1,0,0,higher-data,0.75
390400,Papua Barat Daya,Kab. Sorong,2026-05,0,3,6,0.0,0.06611626637554587,mbg_condition_plus_food_vulnerability_proxy,25.1,25.1,,,,0.2203875545851529,0.39602090977694976,0,0.0,0.0,0.0,0.11115074386307072,0.259295821434275,0.8298987268935365,0.6742226097064807,0.39562732281667534,1,0,1,lower-data,0.5
260800,Bengkulu,Kab. Seluma,2026-05,0,6,13,0.0,0.10136462882096071,mbg_condition_plus_food_vulnerability_proxy,15.98,15.98,71.61,5.0,Tahan,0.3378820960698691,0.5703232192515943,0,0.0,0.0,0.0,0.1673355291560391,0.2689536042971215,0.7896196321898251,0.40918337692531237,0.39035261485014294,1,0,0,higher-data,0.75
10100,D.K.I. Jakarta,Kab. Adm. Kep. Seribu,2026-05,602,9,7,1162.7906976744187,0.16055801065650568,mbg_condition_plus_food_vulnerability_proxy,12.37,12.37,58.05,3.0,Agak Rentan,0.5229257641921399,0.4227847162352548,602,28.23920265780731,23.25581395348837,66.88888888888889,0.37737247252897377,0.30611542025687466,0.6399591497753454,0.30427201394943326,0.3875502819162191,1,1,0,higher-data,0.75
100800,Jambi,Kab. Tanjung Jabung Timur,2026-05,0,3,11,0.0,0.10799672489082973,mbg_condition_plus_food_vulnerability_proxy,9.96,9.96,69.99,5.0,Tahan,0.35998908296943244,0.7114834230017475,0,0.0,0.0,0.0,0.131751341200166,0.2565909860902531,0.8097228788688644,0.23423423423423423,0.3829366963081155,1,0,0,higher-data,0.75
71700,Sumatera Utara,Kab. Nias Selatan,2026-05,2466,5,27,1094.890510948905,0.13988269972227008,mbg_condition_plus_food_vulnerability_proxy,16.16,16.16,65.87,4.0,Agak Tahan,0.41621179039301315,0.7381077799284579,2466,127.73722627737227,72.992700729927,493.2,0.4449137722409596,0.3236938233490035,0.5967055520898843,0.41441441441441434,0.38044524216245323,1,0,0,higher-data,0.75
270800,Maluku Utara,Kab. Pulau Morotai,2026-05,0,7,3,0.0,0.14598799126637554,mbg_condition_plus_food_vulnerability_proxy,4.49,4.49,60.71,4.0,Agak Tahan,0.48662663755458513,0.3758300298549407,0,0.0,0.0,0.0,0.12653958412299937,0.23998802188486956,0.7998613471401409,0.07526881720430108,0.3784682853125759,1,0,1,higher-data,0.75
270100,Maluku Utara,Kab. Pulau Taliabu,2026-05,3878,37,7,180.50541516245488,0.20722950678990604,mbg_condition_plus_food_vulnerability_proxy,6.63,6.63,48.28,2.0,Rentan,0.65625,0.3758300298549407,3878,75.29654461062403,72.71789582258896,104.8108108108108,0.5099925020434362,0.3223907891781212,0.5392379049596383,0.13746004068584713,0.37800031121200084,1,0,1,higher-data,0.75
181100,Sulawesi Tengah,Kab. Banggai Laut,2026-05,10558,36,7,66.30043568857738,0.1836604429651047,mbg_condition_plus_food_vulnerability_proxy,12.71,12.71,51.91,3.0,Agak Rentan,0.6067139737991267,0.30051186291908305,10558,12.028793332070467,11.460503883311233,293.27777777777777,0.5418173499678478,0.32720745158397896,0.5158565305865294,0.3141528625399593,0.3767366049711923,1,0,1,higher-data,0.75
240500,Nusa Tenggara Timur,Kab. Belu,2026-05,0,1,9,0.0,0.10300218340611358,mbg_condition_plus_food_vulnerability_proxy,12.79,12.79,71.21,5.0,Tahan,0.34334061135371197,0.3603880469168942,0,0.0,0.0,0.0,0.08800544766188267,0.23152049368100275,0.8258904420347029,0.31647776809067124,0.3766825645310033,1,0,1,higher-data,0.75
260700,Bengkulu,Kab. Kaur,2026-05,0,8,7,0.0,0.08850982532751094,mbg_condition_plus_food_vulnerability_proxy,15.82,15.82,74.75,5.0,Tahan,0.2950327510917031,0.5703232192515943,0,0.0,0.0,0.0,0.15928128252135149,0.25152664426024285,0.781505539490116,0.4045335658238884,0.3745575697916614,1,0,0,higher-data,0.75
260200,Bengkulu,Kab. Rejang Lebong,2026-05,0,1,11,0.0,0.09522379912663759,mbg_condition_plus_food_vulnerability_proxy,11.71,11.71,73.11,5.0,Tahan,0.3174126637554586,0.5703232192515943,0,0.0,0.0,0.0,0.09497382866672957,0.23625450610222287,0.8239561170388456,0.2850915431560593,0.37407978414111487,1,0,0,higher-data,0.75
76400,Sumatera Utara,Kota Tanjung Balai,2026-05,0,1,22,0.0,0.08916484716157205,mbg_condition_plus_food_vulnerability_proxy,10.67,10.67,74.59,6.0,Sangat Tahan,0.2972161572052402,0.7381077799284579,0,0.0,0.0,0.0,0.119839467802375,0.23921255271622388,0.8049903993304047,0.2548677709968032,0.36703408242614277,1,0,0,higher-data,0.75
260400,Bengkulu,Kab. Mukomuko,2026-05,0,1,0,0.0,0.08105895196506556,mbg_condition_plus_food_vulnerability_proxy,10.05,10.05,76.57,6.0,Sangat Tahan,0.27019650655021854,0.5703232192515943,0,0.0,0.0,0.0,0.0,0.20842792754275064,0.8820864565170025,0.23684975297878522,0.3669751725364648,1,0,0,higher-data,0.75
111100,Sumatera Selatan,Kab. Empat Lawang,2026-05,0,3,24,0.0,0.11851801310043669,mbg_condition_plus_food_vulnerability_proxy,10.48,10.48,67.42,4.0,Agak Tahan,0.3950600436681223,0.33332333369652245,0,0.0,0.0,0.0,0.15980384880107523,0.23529967424465179,0.7670052251899312,0.24934612031386222,0.36631270434816554,1,0,0,higher-data,0.75
171200,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,2026-05,0,1,6,0.0,0.10054585152838429,mbg_condition_plus_food_vulnerability_proxy,10.52,10.52,71.81,5.0,Tahan,0.33515283842794763,0.3808014740516021,0,0.0,0.0,0.0,0.07437323132963429,0.21721570481776367,0.8253081863282113,0.2505085730892182,0.3651650219685397,1,0,1,higher-data,0.75
72600,Sumatera Utara,Kab. Labuhanbatu Selatan,2026-05,4174,16,22,527.0723526593196,0.16762707500578508,mbg_condition_plus_food_vulnerability_proxy,,8.71,57.85,3.0,Agak Rentan,0.5256550218340611,0.7381077799284579,4174,77.14422616195496,61.0924772400575,260.875,0.510117063501612,0.32023823420483616,0.5372665725375263,0.1979075850043592,0.36470865050029533,1,0,0,lower-data,0.5
61500,Aceh,Kab. Nagan Raya,2026-05,0,14,15,0.0,0.08093613537117908,mbg_condition_plus_food_vulnerability_proxy,15.42,15.42,76.6,6.0,Sangat Tahan,0.2697871179039303,0.7407043415714181,0,0.0,0.0,0.0,0.2128773234255738,0.2565202821642206,0.7394297406845735,0.39290903807032834,0.3631140789209622,1,0,0,higher-data,0.75
370300,Papua Selatan,Kab. Mappi,2026-05,3444,5,1,29.036004645760745,0.07301208767702375,mbg_condition_plus_food_vulnerability_proxy,28.46,28.46,,,,0.2203875545851529,0.3618449673488329,3444,51.103368176538915,46.74796747967479,688.8,0.3551322106403962,0.27851055340310915,0.6353149341552798,0.7718686428363848,0.3623330199357082,1,0,1,lower-data,0.5
100300,Jambi,Kab. Sarolangun,2026-05,434,1,15,3456.2211981566825,0.12580513100436683,mbg_condition_plus_food_vulnerability_proxy,8.74,8.74,65.64,4.0,Agak Tahan,0.41935043668122274,0.7114834230017475,434,0.0,0.0,434.0,0.30763003082302126,0.27235414533962077,0.6711085629963818,0.19877942458587616,0.3610701087748372,1,0,0,higher-data,0.75
140800,Kalimantan Tengah,Kab. Sukamara,2026-05,304,2,1,328.9473684210526,0.1416075327510917,mbg_condition_plus_food_vulnerability_proxy,4.02,4.02,61.78,4.0,Agak Tahan,0.4720251091703057,0.57347879054882,304,0.0,0.0,152.0,0.2378818918654932,0.2513995455042233,0.7133498310897064,0.061609997093868045,0.3602205551608911,1,0,0,higher-data,0.75
270300,Maluku Utara,Kab. Halmahera Barat,2026-05,3118,30,9,288.6465683130212,0.18000598218036706,mbg_condition_plus_food_vulnerability_proxy,7.9,7.9,53.07,3.0,Agak Rentan,0.5908842794759825,0.3758300298549407,3118,20.84669660038486,17.639512508017962,103.93333333333334,0.5004801081458795,0.30118034809633487,0.5291107373844279,0.17436791630340015,0.35840332294268906,1,0,1,higher-data,0.75
241600,Nusa Tenggara Timur,Kab. Manggarai Barat,2026-05,0,1,11,0.0,0.07520469432314411,mbg_condition_plus_food_vulnerability_proxy,16.09,16.09,78.0,6.0,Sangat Tahan,0.2506823144104804,0.3603880469168942,0,0.0,0.0,0.0,0.09497382866672957,0.21502752015123267,0.8055796102205006,0.4123801220575414,0.3577294291047976,1,0,1,higher-data,0.75
200300,Sulawesi Tenggara,Kab. Buton,2026-05,0,4,11,0.0,0.09735262008733626,mbg_condition_plus_food_vulnerability_proxy,13.46,13.46,72.59,5.0,Tahan,0.3245087336244542,0.2832008256018625,0,0.0,0.0,0.0,0.14359105574475128,0.22044571542117802,0.7681815875148803,0.33594885207788433,0.35557292972595433,1,0,1,higher-data,0.75
330400,Sulawesi Barat,Kab. Mamasa,2026-05,80,3,16,20000.0,0.16452025277944216,mbg_condition_plus_food_vulnerability_proxy,13.66,13.66,73.19,5.0,Tahan,0.3163209606986901,0.3102193942975158,80,500.0,500.0,26.666666666666668,0.29093008333396564,0.25248851654610593,0.6683679871929955,0.3417611159546643,0.3547134145188671,1,0,1,higher-data,0.75
61100,Aceh,Kab. Simeulue,2026-05,66,17,11,16666.666666666664,0.13328685617210456,mbg_condition_plus_food_vulnerability_proxy,15.52,15.52,77.54,6.0,Sangat Tahan,0.25695960698689957,0.7407043415714181,66,409.0909090909091,393.93939393939394,3.8823529411764706,0.35112349814587673,0.27745245518305744,0.6378693233397948,0.39581517000871835,0.3539171444724439,1,0,0,higher-data,0.75
230800,Nusa Tenggara Barat,Kab. Lombok Utara,2026-05,1674,16,38,2270.0119474313024,0.114796491491548,mbg_condition_plus_food_vulnerability_proxy,20.74,20.74,68.39,5.0,Tahan,0.38182314410480356,0.4448131175325173,1674,1.7921146953405018,1.7921146953405018,104.625,0.4999844487720143,0.30109857038918453,0.5294690406917337,0.5475152571926765,0.3532786054714633,1,0,1,higher-data,0.75
76700,Sumatera Utara,Kota Gunungsitoli,2026-05,2618,13,17,649.3506493506494,0.12384006550218339,mbg_condition_plus_food_vulnerability_proxy,13.85,13.85,66.12,5.0,Tahan,0.4128002183406113,0.7381077799284579,2618,0.0,0.0,201.3846153846154,0.47496797285111086,0.3021954153815022,0.5520757179147452,0.34728276663760527,0.3529208000646364,1,0,0,higher-data,0.75
240100,Nusa Tenggara Timur,Kab. Kupang,2026-05,2186,3,28,1280.8783165599268,0.10611353711790394,mbg_condition_plus_food_vulnerability_proxy,20.32,20.32,70.45,5.0,Tahan,0.35371179039301315,0.3603880469168942,2186,0.0,0.0,728.6666666666666,0.4207426376350938,0.2792797446032872,0.5791809444103855,0.5353095030514385,0.3509931599760258,1,0,1,higher-data,0.75
116100,Sumatera Selatan,Kota Prabumulih,2026-05,0,10,15,0.0,0.11569323144104805,mbg_condition_plus_food_vulnerability_proxy,9.75,9.75,68.11,5.0,Tahan,0.38564410480349354,0.33332333369652245,0,0.0,0.0,0.0,0.19642089529181608,0.2274315851517203,0.7284938039615103,0.22813135716361518,0.3506307732148115,1,0,0,higher-data,0.75
241700,Nusa Tenggara Timur,Kab. Nagekeo,2026-05,0,1,11,0.0,0.08666757641921398,mbg_condition_plus_food_vulnerability_proxy,12.18,12.18,75.2,5.0,Tahan,0.28889192139737996,0.3603880469168942,0,0.0,0.0,0.0,0.09497382866672957,0.20701226708297915,0.798640690441706,0.29875036326649224,0.35060416547244594,1,0,1,higher-data,0.75
140700,Kalimantan Tengah,Kab. Seruyan,2026-05,246,2,5,2032.520325203252,0.1283024017467249,mbg_condition_plus_food_vulnerability_proxy,6.72,6.72,65.03,4.0,Agak Tahan,0.427674672489083,0.57347879054882,246,0.0,0.0,123.0,0.2728699119669016,0.25001773984925857,0.6818639502144316,0.14007555943039812,0.3505920361047789,1,0,0,higher-data,0.75
161000,Kalimantan Timur,Kab. Kutai Timur,2026-05,484,2,19,3925.619834710744,0.14218067685589522,mbg_condition_plus_food_vulnerability_proxy,8.07,8.07,61.64,4.0,Agak Tahan,0.47393558951965076,0.4221122269800722,484,0.0,0.0,242.0,0.34128363388596555,0.2605380927828054,0.6317448286229045,0.17930834059866316,0.35048842439802275,1,0,0,higher-data,0.75
200800,Sulawesi Tenggara,Kab. Kolaka Utara,2026-05,784,10,12,1530.612244897959,0.2029150590494342,mbg_condition_plus_food_vulnerability_proxy,12.94,12.94,70.26,5.0,Tahan,0.35630458515283836,0.2832008256018625,784,690.0510204081633,688.7755102040817,78.4,0.40974104177951765,0.2728753986202925,0.5831608496981254,0.3208369659982563,0.3503569863022326,1,0,1,higher-data,0.75
100900,Jambi,Kab. Merangin,2026-05,0,1,22,0.0,0.08744541484716158,mbg_condition_plus_food_vulnerability_proxy,8.07,8.07,75.01,5.0,Tahan,0.2914847161572053,0.7114834230017475,0,0.0,0.0,0.0,0.119839467802375,0.2192316261404314,0.7876926240219053,0.17930834059866316,0.3482964166733108,1,0,0,higher-data,0.75
61700,Aceh,Kab. Aceh Barat Daya,2026-05,228,4,19,8333.333333333332,0.14340249150720646,mbg_condition_plus_food_vulnerability_proxy,13.3,13.3,78.05,6.0,Sangat Tahan,0.2500000000000001,0.7407043415714181,228,491.2280701754386,491.2280701754386,57.0,0.34347823449037396,0.2673613635306768,0.6357519348907282,0.3312990409764603,0.34585892897524423,1,0,0,higher-data,0.75
330500,Sulawesi Barat,Kab. Majene,2026-05,220,7,28,12727.272727272726,0.13924819450988205,mbg_condition_plus_food_vulnerability_proxy,12.98,12.98,65.8,4.0,Agak Tahan,0.41716703056768567,0.3102193942975158,220,104.54545454545453,95.45454545454545,31.428571428571427,0.38143696441714803,0.26237526835584235,0.5985739825844317,0.32199941877361227,0.34562465236902146,1,0,1,higher-data,0.75
