sample_id,platform,timestamp,year_month,source_type,human_label,weak_label,clean_text,masked_text_excerpt,text_length_tokens,suspicious_term_count,benign_term_count,entity_count,entity_type_count,domain_count,handle_count,payment_count,phone_count,report_channel_score,text_risk_score,gambling_terms,payment_terms,promotion_terms,urgency_terms,contact_terms,benign_terms,cluster_id
demo_0011,forum,2025-12-15,2025-12,public_post,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @tanjung_reviewi9 kanal tanjungi9.invalid,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak [HANDLE] kanal [DOMAIN],13,2,1,2,2,1,1,0,0,1.0,0.697059,1,0,1,0,0,1,C295
demo_0012,short_video,2025-05-21,2025-05,ocr_snapshot,promotional,1,info maxwin qris cepat via admin @elang_reviewos cek domain elangos.invalid mirror fajaro6.invalid admin @fajar_reviewo6,"info maxwin [PAYMENT] via admin [HANDLE], cek domain [DOMAIN] mirror [DOMAIN] admin [HANDLE]",14,4,0,5,3,2,2,1,0,0.0,0.829676,1,1,0,0,2,0,C295
demo_0013,forum,2025-08-09,2025-08,platform_export,benign,0,artikel edukasi dampak sosial ekonomi judi online bagi remaja,artikel edukasi dampak sosial ekonomi judi online bagi remaja,9,0,1,0,0,0,0,0,0,0.0,0.44193,0,0,0,0,0,1,C004
demo_0014,public_report,2025-07-31,2025-07,public_post,benign,0,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,10,0,2,0,0,0,0,0,0,1.0,0.41743,0,0,0,0,0,2,C005
demo_0015,comment,2026-03-24,2026-03,ocr_snapshot,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @alpha_reviewoi,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak [HANDLE],14,4,0,1,1,0,1,0,0,1.0,0.747124,0,1,1,0,2,0,C295
demo_0016,short_video,2025-10-19,2025-10,public_post,benign,0,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,9,1,1,0,0,0,0,0,0,1.0,0.508333,0,0,0,0,1,1,C006
demo_0017,comment,2025-06-04,2025-06,platform_export,benign,0,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,9,1,1,0,0,0,0,0,0,1.0,0.508333,0,0,0,0,1,1,C007
demo_0018,short_video,2026-03-21,2026-03,platform_export,benign,0,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,10,0,2,0,0,0,0,0,0,1.0,0.41743,0,0,0,0,0,2,C008
demo_0019,bio_text,2025-10-22,2025-10,public_post,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C009
demo_0020,public_report,2025-04-20,2025-04,public_post,promotional,1,ocr tangkapan layar memuat parlay deposit kecil dan kontak o8xx-xxx-ioot mirror lintasi2.invalid admin @lintas_reviewi2,"ocr tangkapan layar memuat parlay, deposit kecil, dan kontak [PHONE]mirror [DOMAIN] admin [HANDLE]",14,5,0,3,3,1,1,0,1,1.0,0.856108,1,2,0,0,2,0,C295
demo_0021,public_report,2025-05-01,2025-05,platform_export,suspicious,1,bio akun menyebut cuan cepat dan link bio konteks perlu ditinjau manual kontak @jayakarta_reviewio,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak [HANDLE]",14,2,0,1,1,0,1,0,0,0.0,0.634136,0,0,1,1,0,0,C295
demo_0022,bio_text,2025-06-01,2025-06,public_post,suspicious,1,bio akun menyebut cuan cepat dan link bio konteks perlu ditinjau manual,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual",12,2,0,0,0,0,0,0,0,1.0,0.637994,0,0,1,1,0,0,C010
demo_0023,short_video,2026-04-15,2026-04,ocr_snapshot,benign,0,kampanye literasi digital anti judi online untuk siswa dan keluarga,kampanye literasi digital anti judi online untuk siswa dan keluarga,10,1,2,0,0,0,0,0,0,1.0,0.450166,0,0,0,0,1,2,C011
demo_0024,public_report,2025-05-07,2025-05,platform_export,suspicious,1,bio akun menyebut cuan cepat dan link bio konteks perlu ditinjau manual kanal utara2o.invalid,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kanal [DOMAIN]",14,2,0,1,1,1,0,0,0,1.0,0.664482,0,0,1,1,0,0,C164
demo_0025,short_video,2026-01-14,2026-01,platform_export,promotional,1,ocr tangkapan layar memuat rtp tinggi saldo ewallet dan kontak o8xx-xxx-io22 mirror elangos.invalid admin @elang_reviewos,"ocr tangkapan layar memuat rtp tinggi, saldo ewallet, dan kontak [PHONE]mirror [DOMAIN] admin [HANDLE]",15,6,0,3,3,1,1,0,1,1.0,0.871766,1,2,0,0,3,0,C295
demo_0026,forum,2026-04-01,2026-04,ocr_snapshot,suspicious,1,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @bravo_reviewo2 kanal bravoo2.invalid,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak [HANDLE] kanal [DOMAIN],14,1,0,2,2,1,1,0,0,0.0,0.660756,1,0,0,0,0,0,C295
demo_0027,comment,2026-03-20,2026-03,platform_export,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @varuna_review2i,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak [HANDLE],11,2,1,1,1,0,1,0,0,1.0,0.671873,1,0,1,0,0,1,C295
demo_0028,image_ocr,2025-11-14,2025-11,public_post,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C012
demo_0029,public_report,2025-08-23,2025-08,manual_report,benign,0,artikel edukasi dampak sosial ekonomi judi online bagi remaja contoh tautan disamarkan jayakartaio.invalid,artikel edukasi dampak sosial ekonomi judi online bagi remaja contoh tautan disamarkan [DOMAIN],13,0,1,1,1,1,0,0,0,1.0,0.504167,0,0,0,0,0,1,C295
demo_0030,public_report,2025-03-22,2025-03,platform_export,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,12,4,0,0,0,0,0,0,0,1.0,0.724455,0,1,1,0,2,0,C013
demo_0031,image_ocr,2025-01-14,2025-01,manual_report,promotional,1,komentar berulang menyebut intano9.invalid dengan ajakan claim bonus,komentar berulang menyebut [DOMAIN] dengan ajakan claim bonus,8,2,0,1,1,1,0,0,0,1.0,0.693528,0,1,1,0,0,0,C295
demo_0032,short_video,2026-02-05,2026-02,platform_export,benign,0,kampanye literasi digital anti judi online untuk siswa dan keluarga,kampanye literasi digital anti judi online untuk siswa dan keluarga,10,1,2,0,0,0,0,0,0,0.0,0.41743,0,0,0,0,1,2,C014
demo_0033,comment,2025-03-27,2025-03,platform_export,benign,0,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,9,1,1,0,0,0,0,0,0,1.0,0.508333,0,0,0,0,1,1,C015
demo_0034,forum,2025-03-17,2025-03,manual_report,benign,0,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,9,1,1,0,0,0,0,0,0,1.0,0.508333,0,0,0,0,1,1,C016
demo_0035,short_video,2025-03-25,2025-03,platform_export,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,12,4,0,0,0,0,0,0,0,0.0,0.697059,0,1,1,0,2,0,C017
demo_0036,bio_text,2025-07-30,2025-07,platform_export,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @fajar_reviewo6,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak [HANDLE],11,2,1,1,1,0,1,0,0,0.0,0.641834,1,0,1,0,0,1,C295
demo_0037,image_ocr,2026-02-11,2026-02,manual_report,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @fajar_reviewo6,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak [HANDLE],11,2,1,1,1,0,1,0,0,1.0,0.671873,1,0,1,0,0,1,C295
demo_0038,public_report,2025-02-02,2025-02,manual_report,benign,0,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,9,1,1,0,0,0,0,0,0,0.0,0.475021,0,0,0,0,1,1,C018
demo_0039,short_video,2025-03-29,2025-03,manual_report,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C019
demo_0040,public_report,2025-04-14,2025-04,ocr_snapshot,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,12,4,0,0,0,0,0,0,0,1.0,0.724455,0,1,1,0,2,0,C020
demo_0041,bio_text,2025-01-24,2025-01,manual_report,benign,0,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,9,1,1,0,0,0,0,0,0,1.0,0.508333,0,0,0,0,1,1,C021
demo_0042,forum,2026-03-20,2026-03,ocr_snapshot,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,12,4,0,0,0,0,0,0,0,1.0,0.724455,0,1,1,0,2,0,C022
demo_0043,short_video,2026-04-09,2026-04,platform_export,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @utara_review2o kanal utara2o.invalid,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak [HANDLE] kanal [DOMAIN],16,4,0,2,2,1,1,0,0,0.0,0.743962,0,1,1,0,2,0,C164
demo_0044,forum,2026-02-01,2026-02,ocr_snapshot,benign,0,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,10,0,2,0,0,0,0,0,0,1.0,0.41743,0,0,0,0,0,2,C023
demo_0045,short_video,2025-03-17,2025-03,platform_export,suspicious,1,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal lintasi2.invalid,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal [DOMAIN],12,1,0,1,1,1,0,0,0,1.0,0.664482,1,0,0,0,0,0,C295
demo_0046,bio_text,2025-01-11,2025-01,manual_report,suspicious,1,bio akun menyebut cuan cepat dan link bio konteks perlu ditinjau manual kontak @elang_reviewos,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak [HANDLE]",14,2,0,1,1,0,1,0,0,1.0,0.664482,0,0,1,1,0,0,C295
demo_0047,bio_text,2026-01-13,2026-01,platform_export,promotional,1,akun baru diarahkan ke elangos.invalid lalu chat @elang_reviewos untuk deposit kecil,akun baru diarahkan ke [DOMAIN] lalu chat [HANDLE] untuk deposit kecil,11,2,0,2,2,1,1,0,0,1.0,0.724455,0,2,0,0,0,0,C295
demo_0048,public_report,2025-08-10,2025-08,ocr_snapshot,suspicious,1,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @fajar_reviewo6 kanal fajaro6.invalid,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak [HANDLE] kanal [DOMAIN],14,1,0,2,2,1,1,0,0,0.0,0.660756,1,0,0,0,0,0,C295
demo_0049,public_report,2025-12-06,2025-12,public_post,benign,0,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,10,0,2,0,0,0,0,0,0,1.0,0.41743,0,0,0,0,0,2,C024
demo_0050,comment,2026-02-14,2026-02,ocr_snapshot,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @lintas_reviewi2,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak [HANDLE],11,2,1,1,1,0,1,0,0,1.0,0.671873,1,0,1,0,0,1,C295
demo_0051,forum,2025-10-31,2025-10,platform_export,promotional,1,akun baru diarahkan ke merapiie.invalid lalu chat @merapi_reviewie untuk bonus member baru,akun baru diarahkan ke [DOMAIN] lalu chat [HANDLE] untuk bonus member baru,12,2,0,2,2,1,1,0,0,1.0,0.717751,0,1,1,0,0,0,C295
demo_0052,image_ocr,2025-01-21,2025-01,ocr_snapshot,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @galaksi_reviewot kanal galaksiot.invalid,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak [HANDLE] kanal [DOMAIN],16,4,0,2,2,1,1,0,0,1.0,0.768525,0,1,1,0,2,0,C295
demo_0053,forum,2025-05-26,2025-05,manual_report,suspicious,1,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal jayakartaio.invalid,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal [DOMAIN],12,1,0,1,1,1,0,0,0,1.0,0.664482,1,0,0,0,0,0,C295
demo_0054,forum,2026-01-21,2026-01,platform_export,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C025
demo_0055,public_report,2025-08-06,2025-08,ocr_snapshot,benign,0,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang,9,0,2,0,0,0,0,0,0,1.0,0.41743,0,0,0,0,0,2,C026
demo_0056,forum,2025-12-11,2025-12,manual_report,suspicious,1,bio akun menyebut cuan cepat dan link bio konteks perlu ditinjau manual,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual",12,2,0,0,0,0,0,0,0,0.0,0.606669,0,0,1,1,0,0,C027
demo_0057,image_ocr,2026-01-26,2026-01,public_post,promotional,1,komentar berulang menyebut intano9.invalid dengan ajakan promo malam ini,komentar berulang menyebut [DOMAIN] dengan ajakan promo malam ini,9,2,0,1,1,1,0,0,0,1.0,0.664482,0,0,1,1,0,0,C295
demo_0058,bio_text,2025-06-05,2025-06,platform_export,promotional,1,parlay sedang ramai pola malam ini dibagikan di @varuna_review2i pembayaran qris-varuna-2i,"parlay sedang ramai, pola malam ini dibagikan di [HANDLE], pembayaran [PAYMENT]",11,4,0,2,2,0,1,1,0,1.0,0.845535,2,1,0,1,0,0,C295
demo_0059,comment,2025-10-04,2025-10,ocr_snapshot,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,12,4,0,0,0,0,0,0,0,1.0,0.724455,0,1,1,0,2,0,C028
demo_0060,image_ocr,2026-01-03,2026-01,ocr_snapshot,promotional,1,komentar berulang menyebut alphaoi.invalid dengan ajakan buruan klaim,komentar berulang menyebut [DOMAIN] dengan ajakan buruan klaim,8,2,0,1,1,1,0,0,0,1.0,0.664482,0,0,1,1,0,0,C295
demo_0061,bio_text,2025-05-26,2025-05,platform_export,suspicious,1,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal halimuno8.invalid,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal [DOMAIN],12,1,0,1,1,1,0,0,0,0.0,0.634136,1,0,0,0,0,0,C295
demo_0062,comment,2026-01-19,2026-01,ocr_snapshot,benign,0,artikel edukasi dampak sosial ekonomi judi online bagi remaja,artikel edukasi dampak sosial ekonomi judi online bagi remaja,9,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C029
demo_0063,public_report,2026-01-13,2026-01,public_post,promotional,1,akun baru diarahkan ke halimuno8.invalid lalu chat @halimun_reviewo8 untuk bonus member baru,akun baru diarahkan ke [DOMAIN] lalu chat [HANDLE] untuk bonus member baru,12,2,0,2,2,1,1,0,0,0.0,0.689974,0,1,1,0,0,0,C295
demo_0064,public_report,2026-02-21,2026-02,manual_report,benign,0,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,10,0,2,0,0,0,0,0,0,1.0,0.41743,0,0,0,0,0,2,C030
demo_0065,comment,2025-11-02,2025-11,platform_export,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C031
demo_0066,forum,2026-03-10,2026-03,ocr_snapshot,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @fajar_reviewo6,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak [HANDLE],11,2,1,1,1,0,1,0,0,1.0,0.671873,1,0,1,0,0,1,C295
demo_0067,bio_text,2025-07-12,2025-07,public_post,suspicious,1,bio akun menyebut cuan cepat dan link bio konteks perlu ditinjau manual,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual",12,2,0,0,0,0,0,0,0,1.0,0.637994,0,0,1,1,0,0,C032
demo_0068,bio_text,2026-01-31,2026-01,public_post,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C033
demo_0069,forum,2025-01-13,2025-01,manual_report,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,9,2,1,0,0,0,0,0,0,1.0,0.645656,1,0,1,0,0,1,C034
demo_0070,comment,2026-02-15,2026-02,manual_report,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif contoh tautan disamarkan fajaro6.invalid,diskusi sekolah tentang cara menjaga ruang digital produktif contoh tautan disamarkan [DOMAIN],12,0,1,1,1,1,0,0,0,1.0,0.504167,0,0,0,0,0,1,C295
demo_0071,short_video,2026-02-02,2026-02,platform_export,promotional,1,info togel saldo ewallet via admin @halimun_reviewo8 cek domain halimuno8.invalid,"info togel saldo [PAYMENT] admin [HANDLE], cek domain [DOMAIN]",10,6,0,3,3,1,1,1,0,0.0,0.856108,1,2,0,0,3,0,C295
demo_0072,short_video,2025-03-23,2025-03,manual_report,suspicious,1,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @fajar_reviewo6,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak [HANDLE],12,1,0,1,1,0,1,0,0,1.0,0.664482,1,0,0,0,0,0,C295
demo_0073,image_ocr,2025-06-09,2025-06,public_post,suspicious,1,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @elang_reviewos,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak [HANDLE],14,4,0,1,1,0,1,0,0,0.0,0.721115,0,1,1,0,2,0,C295
demo_0074,image_ocr,2025-10-04,2025-10,manual_report,benign,0,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,10,0,2,0,0,0,0,0,0,1.0,0.41743,0,0,0,0,0,2,C035
demo_0075,bio_text,2025-12-30,2025-12,manual_report,benign,0,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang contoh tautan disamarkan dahliaoa.invalid,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang contoh tautan disamarkan [DOMAIN],13,0,2,1,1,1,0,0,0,1.0,0.446044,0,0,0,0,0,2,C295
demo_0076,image_ocr,2025-01-16,2025-01,platform_export,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @elang_reviewos,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak [HANDLE],11,2,1,1,1,0,1,0,0,1.0,0.671873,1,0,1,0,0,1,C295
demo_0077,image_ocr,2025-07-10,2025-07,manual_report,benign,0,kampanye literasi digital anti judi online untuk siswa dan keluarga,kampanye literasi digital anti judi online untuk siswa dan keluarga,10,1,2,0,0,0,0,0,0,1.0,0.450166,0,0,0,0,1,2,C036
demo_0078,comment,2025-11-11,2025-11,manual_report,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C037
demo_0079,bio_text,2025-11-20,2025-11,platform_export,promotional,1,ocr tangkapan layar memuat rtp tinggi bonus member baru dan kontak o8xx-xxx-iooa,"ocr tangkapan layar memuat rtp tinggi, bonus member baru, dan kontak [PHONE]",12,3,0,1,1,0,0,0,1,1.0,0.7773,1,1,1,0,0,0,C295
demo_0080,public_report,2025-03-24,2025-03,ocr_snapshot,promotional,1,akun baru diarahkan ke elangos.invalid lalu chat @elang_reviewos untuk wd harian,akun baru diarahkan ke [DOMAIN] lalu chat [HANDLE] untuk wd harian,11,1,0,2,2,1,1,0,0,1.0,0.660756,0,1,0,0,0,0,C295
demo_0081,comment,2025-06-02,2025-06,ocr_snapshot,benign,0,artikel edukasi dampak sosial ekonomi judi online bagi remaja,artikel edukasi dampak sosial ekonomi judi online bagi remaja,9,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C038
demo_0082,short_video,2026-01-01,2026-01,manual_report,promotional,1,akun baru diarahkan ke alphaoi.invalid lalu chat @alpha_reviewoi untuk qris cepat,akun baru diarahkan ke [DOMAIN] lalu chat [HANDLE] untuk [PAYMENT],11,1,0,3,3,1,1,1,0,1.0,0.686398,0,1,0,0,0,0,C295
demo_0083,short_video,2026-02-16,2026-02,platform_export,promotional,1,info rtp tinggi wd harian via admin @kartika_reviewii cek domain kartikaii.invalid,"info rtp tinggi wd harian via admin [HANDLE], cek domain [DOMAIN]",11,4,0,2,2,1,1,0,0,1.0,0.796841,1,1,0,0,2,0,C295
demo_0084,image_ocr,2025-03-16,2025-03,manual_report,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C039
demo_0085,comment,2025-11-23,2025-11,ocr_snapshot,benign,0,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi contoh tautan disamarkan cendanaoe.invalid,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi contoh tautan disamarkan [DOMAIN],14,0,2,1,1,1,0,0,0,1.0,0.446044,0,0,0,0,0,2,C295
demo_0086,comment,2025-03-25,2025-03,public_post,suspicious,1,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @fajar_reviewo6 kanal fajaro6.invalid,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak [HANDLE] kanal [DOMAIN],14,1,0,2,2,1,1,0,0,1.0,0.689974,1,0,0,0,0,0,C295
demo_0087,image_ocr,2025-06-01,2025-06,platform_export,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,9,2,1,0,0,0,0,0,0,1.0,0.645656,1,0,1,0,0,1,C040
demo_0088,bio_text,2026-04-04,2026-04,manual_report,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @dahlia_reviewoa,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak [HANDLE],11,2,1,1,1,0,1,0,0,1.0,0.671873,1,0,1,0,0,1,C295
