rank,region_code,province,district,final_priority_score,model_priority_score,reference_priority_score,coverage_gap,nutrition_need,food_vulnerability,socioeconomic_stress,price_stress,sppg_operational_count,mbg_beneficiaries,top_reasons
1,252800,Papua,Kab. Mamberamo Raya,0.706411989037012,0.7055739249565123,0.7079683937579402,0.9234818421642154,0.3,1.0,0.964545190351642,0.5483230932828003,0,3366,kepadatan SPPG rendah relatif terhadap penerima; kerentanan pangan struktural tinggi; tekanan sosial-ekonomi tinggi
20,210900,Maluku,Kab. Buru Selatan,0.6064678797120335,0.6980542147851186,0.4363789717191611,0.7426729250494509,0.1762418122270742,0.5874727074235808,0.3760534728276663,0.3024708753691258,3,554,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
21,161200,Kalimantan Timur,Kab. Mahakam Ulu,0.5989028494695389,0.6747082791913295,0.4581213371290706,0.9419804704974772,0.1631004366812227,0.5436681222707425,0.2380122057541412,0.4221122269800722,0,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
22,200600,Sulawesi Tenggara,Kab. Wakatobi,0.5944496815289791,0.6980542147851186,0.40204126262472,0.7877839868697725,0.1384961790393012,0.4616539301310043,0.3342051729148503,0.2832008256018625,9,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
23,241300,Nusa Tenggara Timur,Kab. Sumba Barat,0.5849773865986201,0.6605354849494989,0.4446552039469881,0.8609105373571633,0.1025927947598253,0.3419759825327511,0.7140366172624236,0.3603880469168942,3,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
24,210400,Maluku,Kab. Kepulauan Tanimbar,0.5835385111833931,0.6667725579057366,0.4289609958418979,0.7370330246102188,0.2090675024452071,0.6335971615720524,0.1979075850043592,0.3024708753691258,2,88,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
25,241500,Nusa Tenggara Timur,Kab. Rote Ndao,0.5825173331814857,0.6605354849494989,0.4376264798980327,0.8687469647204267,0.1027565502183406,0.3425218340611354,0.6530078465562337,0.3603880469168942,8,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
26,270200,Maluku Utara,Kab. Halmahera Tengah,0.5812292820647667,0.6667725579057366,0.4223631983601081,0.7649855273947481,0.1777156113537117,0.5923853711790392,0.2109851787271141,0.3758300298549407,1,276,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
27,116300,Sumatera Selatan,Kota Pagar Alam,0.5732367984992603,0.6667725579057366,0.39952753103009,0.7880140309905854,0.1579421397379912,0.5264737991266375,0.1685556524266201,0.3333233336965224,14,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
28,100800,Jambi,Kab. Tanjung Jabung Timur,0.5725882251822045,0.6747082791913295,0.3829366963081155,0.8097228788688644,0.1079967248908297,0.3599890829694324,0.2342342342342342,0.7114834230017475,11,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
29,270800,Maluku Utara,Kab. Pulau Morotai,0.5710242813337657,0.6747082791913295,0.3784682853125759,0.7998613471401409,0.1459879912663755,0.4866266375545851,0.075268817204301,0.3758300298549407,3,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
30,111100,Sumatera Selatan,Kab. Empat Lawang,0.5616116091605867,0.6667725579057366,0.3663127043481655,0.7670052251899312,0.1185180131004366,0.3950600436681223,0.2493461203138622,0.3333233336965224,24,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
31,240500,Nusa Tenggara Timur,Kab. Belu,0.5611869628030255,0.6605354849494989,0.3766825645310033,0.8258904420347029,0.1030021834061135,0.3433406113537119,0.3164777680906712,0.3603880469168942,9,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
32,260800,Bengkulu,Kab. Seluma,0.5607042932289916,0.6524321200483716,0.3903526148501429,0.7896196321898251,0.1013646288209607,0.3378820960698691,0.4091833769253123,0.5703232192515943,13,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
33,120400,Lampung,Kab. Lampung Barat,0.5567807292414557,0.6133636815075112,0.4516981036044956,0.7521710959142951,0.4506679518404324,0.275518558951965,0.2333623946527172,0.3162695098693987,29,42,gap cakupan dan dukungan tinggi; kepadatan SPPG rendah relatif terhadap penerima; kebutuhan gizi/karakteristik peserta tinggi
34,116100,Sumatera Selatan,Kota Prabumulih,0.5561229332639128,0.6667725579057366,0.3506307732148115,0.7284938039615103,0.115693231441048,0.3856441048034935,0.2281313571636151,0.3333233336965224,15,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
35,171200,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,0.5356446565960922,0.627441382934005,0.3651650219685397,0.8253081863282113,0.1005458515283842,0.3351528384279476,0.2505085730892182,0.3808014740516021,6,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
36,360300,Papua Tengah,Kab. Paniai,0.5209678169696972,0.533814636199201,0.4971094384006187,1.0,0.0661162663755458,0.2203875545851529,1.0,0.5978246850429408,0,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
37,360200,Papua Tengah,Kab. Puncak Jaya,0.5192967184143953,0.533814636199201,0.4923348710997562,0.9957230036823392,0.0661162663755458,0.2203875545851529,0.975297878523685,0.5978246850429408,0,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
38,380300,Papua Pegunungan,Kab. Yahukimo,0.5137368995254255,0.533814636199201,0.4764496742741281,0.959674204001038,0.0661162663755458,0.2203875545851529,0.8343504795117698,0.8832069439726297,2,0,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
39,380200,Papua Pegunungan,Kab. Pegunungan Bintang,0.5075987550728601,0.533814636199201,0.4589121186953701,0.9721743740138176,0.0661162663755458,0.2203875545851529,0.6965998256320837,0.8832069439726297,0,0,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
40,240900,Nusa Tenggara Timur,Kab. Ende,0.49290149245719395,0.5397443106952126,0.4059076871580165,0.8228648390312987,0.0959606986899563,0.3198689956331877,0.5640802092414995,0.3603880469168942,17,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
41,380400,Papua Pegunungan,Kab. Tolikara,0.49042328168249494,0.5248622329304512,0.4264652293648619,0.7921688567964057,0.0661162663755458,0.2203875545851529,0.7802964254577157,0.8832069439726297,0,454,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
42,390400,Papua Barat Daya,Kab. Sorong,0.485449076515317,0.533814636199201,0.3956273228166753,0.8298987268935365,0.0661162663755458,0.2203875545851529,0.6742226097064807,0.3960209097769497,6,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
43,260700,Bengkulu,Kab. Kaur,0.4722556008318748,0.5248622329304512,0.3745575697916614,0.781505539490116,0.0885098253275109,0.2950327510917031,0.4045335658238884,0.5703232192515943,7,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
44,241600,Nusa Tenggara Timur,Kab. Manggarai Barat,0.47218481371615983,0.533814636199201,0.3577294291047976,0.8055796102205006,0.0752046943231441,0.2506823144104804,0.4123801220575414,0.3603880469168942,11,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
45,200300,Sulawesi Tenggara,Kab. Buton,0.4694742251463915,0.5308056919112423,0.3555729297259543,0.7681815875148803,0.0973526200873362,0.3245087336244542,0.3359488520778843,0.2832008256018625,11,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
46,61500,Aceh,Kab. Nagan Raya,0.46825037902713007,0.5248622329304512,0.3631140789209622,0.7394297406845735,0.080936135371179,0.2697871179039303,0.3929090380703283,0.7407043415714181,15,0,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
47,300500,Gorontalo,Kab. Gorontalo Utara,0.46057720733371643,0.5248622329304512,0.3411907312254947,0.7435794737927531,0.0716020742358078,0.2386735807860263,0.4065678581807613,0.4303048382090849,5,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
48,210300,Maluku,Kab. Buru,0.4597207660763516,0.5248622329304512,0.3387437562044523,0.7951015309971485,0.0661572052401747,0.220524017467249,0.3839000290613193,0.3024708753691258,8,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
49,260200,Bengkulu,Kab. Rejang Lebong,0.45834714516484487,0.5037218780237764,0.3740797841411148,0.8239561170388456,0.0952237991266375,0.3174126637554586,0.2850915431560593,0.5703232192515943,11,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
50,76400,Sumatera Utara,Kota Tanjung Balai,0.4520059002054486,0.4977599559327672,0.3670340824261427,0.8049903993304047,0.089164847161572,0.2972161572052402,0.2548677709968032,0.7381077799284579,22,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
51,260400,Bengkulu,Kab. Mukomuko,0.4519852817440614,0.4977599559327672,0.3669751725364648,0.8820864565170025,0.0810589519650655,0.2701965065502185,0.2368497529787852,0.5703232192515943,0,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
52,241700,Nusa Tenggara Timur,Kab. Nagekeo,0.44625542927165474,0.4977599559327672,0.3506041654724459,0.798640690441706,0.0866675764192139,0.2888919213973799,0.2987503632664922,0.3603880469168942,11,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
53,340100,Kalimantan Utara,Kab. Malinau,0.4429880375768547,0.4977599559327672,0.3412687606301599,0.8052188775190444,0.0888373362445415,0.2961244541484716,0.106364428945074,0.6738283678670767,4,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
54,100900,Jambi,Kab. Merangin,0.43960960760053425,0.4887782488690392,0.3482964166733108,0.7876926240219053,0.0874454148471615,0.2914847161572053,0.1793083405986631,0.7114834230017475,22,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
55,76200,Sumatera Utara,Kota Tebing Tinggi,0.43697362368029624,0.4887782488690392,0.3407650340440594,0.7788510564433874,0.0780294759825327,0.2600982532751091,0.1987794245858761,0.7381077799284579,25,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
56,140400,Kalimantan Tengah,Kab. Kotawaringin Timur,0.43588066950551174,0.49473856416368056,0.3265731508546268,0.7344949266905899,0.0955513100436681,0.3185043668122271,0.1142109851787271,0.57347879054882,7,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
57,61600,Aceh,Kab. Aceh Jaya,0.435049973796355,0.4887782488690392,0.3352688915185129,0.7675485661005701,0.0682860262008733,0.2276200873362446,0.2461493751816331,0.7407043415714181,12,0,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
58,191800,Sulawesi Selatan,Kab. Tana Toraja,0.43472437018996535,0.4887782488690392,0.3343385955002568,0.7354585127794416,0.079789847161572,0.2659661572052403,0.2510897994768962,0.6338163887252732,17,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
59,121300,Lampung,Kab. Pesisir Barat,0.43256611885716967,0.4887782488690392,0.3281721631208405,0.728097856847261,0.0843340611353711,0.281113537117904,0.2972972972972972,0.3162695098693987,17,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
60,192700,Sulawesi Selatan,Kab. Toraja Utara,0.4320994399597542,0.4887782488690392,0.3268387948425106,0.7701086873923016,0.0659934497816594,0.2199781659388646,0.2368497529787852,0.6338163887252732,20,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
61,61900,Aceh,Kab. Bener Meriah,0.43033444353172884,0.4062366235310851,0.4750875378186386,0.6770362811577114,0.2047391012505044,0.6739901746724891,0.4155768671897703,0.7407043415714181,17,1240,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
62,72500,Sumatera Utara,Kab. Labuhanbatu Utara,0.4301951390657103,0.4887782488690392,0.3213979351452424,0.751684694728034,0.0657887554585153,0.2192958515283843,0.1979075850043592,0.7381077799284579,38,0,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
63,171100,Sulawesi Utara,Kab. Bolaang Mongondow Timur,0.4289563859769984,0.4887782488690392,0.3178586406060656,0.7835252655656902,0.0865856986899563,0.2886189956331878,0.0993897122929381,0.3808014740516021,3,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
64,270600,Maluku Utara,Kab. Halmahera Timur,0.4289081403070676,0.4887782488690392,0.3177207958348347,0.7663678828350511,0.0685316593886463,0.2284388646288211,0.2510897994768962,0.3758300298549407,7,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
65,140300,Kalimantan Tengah,Kab. Barito Utara,0.42226458428874386,0.4887782488690392,0.2987392072110525,0.7720743828492092,0.0602620087336244,0.2008733624454148,0.105201976169718,0.57347879054882,6,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
66,170600,Sulawesi Utara,Kab. Minahasa Utara,0.4215731361018868,0.4887782488690392,0.2967636409628895,0.7458514527709597,0.0719705240174672,0.2399017467248908,0.1206044754431851,0.3808014740516021,14,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
67,196200,Sulawesi Selatan,Kota Palopo,0.4215535740349647,0.4887782488690392,0.296707749343112,0.7462438178978006,0.0545305676855895,0.1817685589519652,0.1534437663469921,0.6338163887252732,18,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
68,81100,Sumatera Barat,Kab. Solok Selatan,0.4168131068953028,0.4887782488690392,0.2831635575155068,0.7291403515649654,0.0440911572052402,0.1469705240174673,0.1191514094739901,0.7635949675567895,14,0,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
69,81200,Sumatera Barat,Kab. Dharmasraya,0.4164975691144249,0.4887782488690392,0.2822620209987127,0.7394492934622148,0.046629366812227,0.1554312227074236,0.078756175530369,0.7635949675567895,16,0,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
70,176100,Sulawesi Utara,Kota Bitung,0.4160456073148907,0.4887782488690392,0.280970701571472,0.7403061190830342,0.0588291484716157,0.1960971615720524,0.1136297587910491,0.3808014740516021,10,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
71,10100,D.K.I. Jakarta,Kab. Adm. Kep. Seribu,0.399696403965882,0.4062366235310851,0.3875502819162191,0.6399591497753454,0.1605580106565056,0.5229257641921399,0.3042720139494332,0.4227847162352548,7,602,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
72,71700,Sumatera Utara,Kab. Nias Selatan,0.39720964005206394,0.4062366235310851,0.3804452421624532,0.5967055520898843,0.13988269972227,0.4162117903930131,0.4144144144144143,0.7381077799284579,27,2466,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
73,240100,Nusa Tenggara Timur,Kab. Kupang,0.3869014112868144,0.4062366235310851,0.3509931599760258,0.5791809444103855,0.1061135371179039,0.3537117903930131,0.5353095030514385,0.3603880469168942,28,2186,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
74,200800,Sulawesi Tenggara,Kab. Kolaka Utara,0.38667875050098677,0.4062366235310851,0.3503569863022326,0.5831608496981254,0.2029150590494342,0.3563045851528383,0.3208369659982563,0.2832008256018625,12,784,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
75,330500,Sulawesi Barat,Kab. Majene,0.38502243362436284,0.4062366235310851,0.3456246523690214,0.5985739825844317,0.139248194509882,0.4171670305676856,0.3219994187736122,0.3102193942975158,28,220,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
76,250100,Papua,Kab. Jayapura,0.38435119128832673,0.4062366235310851,0.3437068171232041,0.5770307641235065,0.123018809808353,0.402292576419214,0.3234524847428072,0.5483230932828003,0,4274,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
77,241200,Nusa Tenggara Timur,Kab. Sumba Timur,0.3788563638912019,0.35712894800676664,0.4192072791051532,0.69865796587494,0.1535433583889179,0.3464792576419214,0.6899157221737867,0.3603880469168942,4,390,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
78,100300,Jambi,Kab. Sarolangun,0.3681252911524905,0.3719242355096884,0.3610701087748372,0.6711085629963818,0.1258051310043668,0.4193504366812227,0.1987794245858761,0.7114834230017475,15,434,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
79,140800,Kalimantan Tengah,Kab. Sukamara,0.3678279473876093,0.3719242355096884,0.3602205551608911,0.7133498310897064,0.1416075327510917,0.4720251091703057,0.061609997093868,0.57347879054882,1,304,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
80,140700,Kalimantan Tengah,Kab. Seruyan,0.36445796571797007,0.3719242355096884,0.3505920361047789,0.6818639502144316,0.1283024017467249,0.427674672489083,0.1400755594303981,0.57347879054882,5,246,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
81,161000,Kalimantan Timur,Kab. Kutai Timur,0.3644217016206054,0.3719242355096884,0.3504884243980227,0.6317448286229045,0.1421806768558952,0.4739355895196507,0.1793083405986631,0.4221122269800722,19,484,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
82,330400,Sulawesi Barat,Kab. Mamasa,0.3562835112860018,0.35712894800676664,0.3547134145188671,0.6683679871929955,0.1645202527794421,0.3163209606986901,0.3417611159546643,0.3102193942975158,16,80,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
83,310200,Kepulauan Riau,Kab. Karimun,0.35614474488166736,0.3719242355096884,0.3268399765724854,0.6026604987022184,0.1459565693079403,0.4597434497816594,0.0947399011915141,0.3786075500818553,29,416,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
84,310100,Kepulauan Riau,Kab. Bintan,0.354579774382872,0.3719242355096884,0.3223686322902132,0.563062415272273,0.1486998307034544,0.4905840611353712,0.083405986631793,0.3786075500818553,19,274,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
85,61100,Aceh,Kab. Simeulue,0.35245817808721164,0.3516725808028558,0.3539171444724439,0.6378693233397948,0.1332868561721045,0.2569596069868995,0.3958151700087183,0.7407043415714181,11,66,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
86,61700,Aceh,Kab. Aceh Barat Daya,0.3496378026631917,0.3516725808028558,0.3458589289752442,0.6357519348907282,0.1434024915072064,0.2500000000000001,0.3312990409764603,0.7407043415714181,19,228,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
87,242200,Nusa Tenggara Timur,Kab. Malaka,0.3496065643153843,0.35712894800676664,0.3356364231742455,0.6584666475384845,0.1006686681222707,0.3355622270742359,0.3376925312409183,0.3603880469168942,13,238,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
